store,offset,size,label,source
UndiNVData,0x2C,1,Number of Virtual Functions Supported,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x2D,1,Virtual Function Allocation Basis,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x2E,1,Virtual Function Allocation Multiple,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x33,2,Blink LEDs,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x26,1,Link Status,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x27,1,Link Speed Status,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x2,1,Virtual MAC Address,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x30,1,Virtual LAN Mode,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x31,2,Virtual LAN ID,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x2A,1,Virtualization Mode,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x36,1,TCP/IP Parameters via DHCP,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x37,1,iSCSI Parameters via DHCP,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x38,1,CHAP Authentication,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x39,1,CHAP Mutual Authentication,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x3A,1,IP Version,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x584,1,Virtual LAN Mode,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x585,2,Virtual LAN ID,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x3B,1,IP Address,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x5B,1,Subnet Mask,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x7B,1,Default Gateway,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x9B,1,iSCSI Name,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x25B,1,CHAP ID,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x35D,1,CHAP Secret,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x37F,1,IP Address,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x39F,2,TCP Port,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x3A1,1,Boot LUN,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x3A2,1,iSCSI Name,5C60F367-A505-419A-859E-2A4FF6CA6FE5
UndiNVData,0x562,1,CHAP Secret,5C60F367-A505-419A-859E-2A4FF6CA6FE5
RstHiiConfig,0x1,1,Name:,91B4D9C1-141C-4824-8D02-3C298E36EB3F
RstHiiConfig,0x23,2,RAID Level:,91B4D9C1-141C-4824-8D02-3C298E36EB3F
RstHiiConfig,0x44,2,Strip Size:,91B4D9C1-141C-4824-8D02-3C298E36EB3F
RstHiiConfig,0x46,4,Capacity (MB):,91B4D9C1-141C-4824-8D02-3C298E36EB3F
RstHiiConfig,0x4A,1,Synchronization:,91B4D9C1-141C-4824-8D02-3C298E36EB3F
IntelSetup,0x10F,1,XHCI Mode,Platform
IntelSetup,0x1B5,1,PCH DMI ASPM,Platform
IntelSetup,0xE1,1,PCH Internal LAN,Platform
IntelSetup,0xE4,1,Wake on LAN,Platform
IntelSetup,0xE2,1,Gbe Region Valid,Platform
IntelSetup,0xE3,1,PchLan Supported,Platform
IntelSetup,0x2EA,1,Intel VT for Directed I/O (VT-d),Platform
IntelSetup,0x116F,1,MCTP,Platform
IntelSetup,0x62,1,Execute Disable Bit,Platform
IntelSetup,0x73,1,Intel Virtualization Technology (VT-x),Platform
IntelSetup,0x56,1,PCI 64-Bit Resource Allocation,Platform
IntelSetup,0x5A,1,Fan PWM Offset,Platform
IntelSetup,0x57,1,PCIe Max Read Request Size,Platform
IntelSetup,0x58,1,PCIe Latency Tolerance Reporting,Platform
IntelSetup,0x5B,1,PCI Minimum Secondary Bus Number,Platform
IntelSetup,0x59,1,PCIe Extended Tag Enable,Platform
IntelSetup,0x5D,1,PCIe AtomicOp Request Support,Platform
IntelSetup,0x4A,1,Breakpoint Type,Platform
IntelSetup,0x2DA,1,Force Setup,Platform
IntelSetup,0x2DB,1,BIOS Guard,Platform
IntelSetup,0x179B,1,Bios Guard Anti-Flash Wearout,Platform
IntelSetup,0x2D6,1,Serial Debug Message Level,Platform
IntelSetup,0x2D9,1,Trace Messages,Platform
IntelSetup,0x125D,1,Training Messages,Platform
IntelSetup,0x2D7,1,RC Promote Warnings,Platform
IntelSetup,0x2D8,1,RC Promote MRC Warnings,Platform
IntelSetup,0x4F,1,Active Video,Platform
IntelSetup,0x46,1,PS2 Port Swap,Platform
IntelSetup,0x1B0,1,RTC Wake system from S5,Platform
IntelSetup,0x1B1,1,Wake up hour,Platform
IntelSetup,0x1B2,1,Wake up minute,Platform
IntelSetup,0x1B3,1,Wake up second,Platform
IntelSetup,0x1337,1,Legacy PXE ROM,Platform
IntelSetup,0x1338,1,EFI Network,Platform
IntelSetup,0x1AA,1,LOM,Platform
IntelSetup,0x2DE,1,Reserve Memory Range,Platform
IntelSetup,0x2DF,4,Start Address,Platform
IntelSetup,0x2E7,1,Reserve TAGEC Memory,Platform
IntelSetup,0xDE,1,Board Capability,Platform
IntelSetup,0xDF,1,DeepSx Power Policies,Platform
IntelSetup,0xE0,1,GP27 Wake From DeepSx,Platform
IntelSetup,0xE8,1,SMBUS Device,Platform
IntelSetup,0xEF,1,PCH Server Error Reporting Mode (SERM),Platform
IntelSetup,0xEA,1,PCH Display,Platform
IntelSetup,0xE9,1,CLKRUN# logic,Platform
IntelSetup,0xF7,1,Serial IRQ Mode,Platform
IntelSetup,0xF2,1,InvalidId,Platform
IntelSetup,0xF3,1,InvalidId,Platform
IntelSetup,0xF5,1,External SSC Enable - CK420,Platform
IntelSetup,0x4B,1,PCH state after G3,Platform
IntelSetup,0xF4,1,Port 80h Cycles,Platform
IntelSetup,0x1AF,1,PCH Cross Throttling,Platform
IntelSetup,0xEB,1,PCH CRID,Platform
IntelSetup,0x129,1,USB Precondition,Platform
IntelSetup,0x12B,1,Trunk Clock Gating (BTCG),Platform
IntelSetup,0xF8,1,XHCI Pre-Boot Driver,Platform
IntelSetup,0xF9,1,Route USB 2.0 pins to which HC?,Platform
IntelSetup,0xFA,1,USB 2.0 pin #0,Platform
IntelSetup,0xFB,1,USB 2.0 pin #1,Platform
IntelSetup,0xFC,1,USB 2.0 pin #2,Platform
IntelSetup,0xFD,1,USB 2.0 pin #3,Platform
IntelSetup,0xFE,1,USB 2.0 pin #4,Platform
IntelSetup,0xFF,1,USB 2.0 pin #5,Platform
IntelSetup,0x100,1,USB 2.0 pin #6,Platform
IntelSetup,0x101,1,USB 2.0 pin #7,Platform
IntelSetup,0x102,1,USB 2.0 pin #8,Platform
IntelSetup,0x103,1,USB 2.0 pin #9,Platform
IntelSetup,0x104,1,USB 2.0 pin #10,Platform
IntelSetup,0x105,1,USB 2.0 pin #11,Platform
IntelSetup,0x106,1,USB 2.0 pin #12,Platform
IntelSetup,0x107,1,USB 2.0 pin #13,Platform
IntelSetup,0x108,1,Enable USB 3.0 pins,Platform
IntelSetup,0x109,1,USB 3.0 pin #1,Platform
IntelSetup,0x10A,1,USB 3.0 pin #2,Platform
IntelSetup,0x10B,1,USB 3.0 pin #3,Platform
IntelSetup,0x10C,1,USB 3.0 pin #4,Platform
IntelSetup,0x10D,1,USB 3.0 pin #5,Platform
IntelSetup,0x10E,1,USB 3.0 pin #6,Platform
IntelSetup,0x115,1,USB Port #0 Disable,Platform
IntelSetup,0x116,1,USB Port #1 Disable,Platform
IntelSetup,0x117,1,USB Port #2 Disable,Platform
IntelSetup,0x118,1,USB Port #3 Disable,Platform
IntelSetup,0x119,1,USB Port #4 Disable,Platform
IntelSetup,0x11A,1,USB Port #5 Disable,Platform
IntelSetup,0x11B,1,USB Port #6 Disable,Platform
IntelSetup,0x11C,1,USB Port #7 Disable,Platform
IntelSetup,0x11D,1,USB Port #8 Disable,Platform
IntelSetup,0x11E,1,USB Port #9 Disable,Platform
IntelSetup,0x11F,1,USB Port #10 Disable,Platform
IntelSetup,0x120,1,USB Port #11 Disable,Platform
IntelSetup,0x121,1,USB Port #12 Disable,Platform
IntelSetup,0x122,1,USB Port #13 Disable,Platform
IntelSetup,0x123,1,USB 3.0 Port #0 Disable,Platform
IntelSetup,0x124,1,USB 3.0 Port #1 Disable,Platform
IntelSetup,0x125,1,USB 3.0 Port #2 Disable,Platform
IntelSetup,0x126,1,USB 3.0 Port #3 Disable,Platform
IntelSetup,0x127,1,USB 3.0 Port #4 Disable,Platform
IntelSetup,0x128,1,USB 3.0 Port #5 Disable,Platform
IntelSetup,0x28C,1,Azalia Docking Support Enable,Platform
IntelSetup,0x28D,1,Azalia PME Enable,Platform
IntelSetup,0x12C,1,SATA Controller,Platform
IntelSetup,0x12D,1,Configure SATA as,Platform
IntelSetup,0x12E,1,SATA RSTe Boot Info,Platform
IntelSetup,0x165,1,Alternate Device ID on RAID,Platform
IntelSetup,0x163,1,Load EFI Driver for RAID,Platform
IntelSetup,0x12F,1,Port 0,Platform
IntelSetup,0x135,1,Hot Plug,Platform
IntelSetup,0x147,1,Configure as eSATA,Platform
IntelSetup,0x130,1,Port 1,Platform
IntelSetup,0x136,1,Hot Plug,Platform
IntelSetup,0x148,1,Configure as eSATA,Platform
IntelSetup,0x131,1,Port 2,Platform
IntelSetup,0x137,1,Hot Plug,Platform
IntelSetup,0x149,1,Configure as eSATA,Platform
IntelSetup,0x132,1,Port 3,Platform
IntelSetup,0x138,1,Hot Plug,Platform
IntelSetup,0x14A,1,Configure as eSATA,Platform
IntelSetup,0x133,1,Port 4,Platform
IntelSetup,0x139,1,Hot Plug,Platform
IntelSetup,0x14B,1,Configure as eSATA,Platform
IntelSetup,0x134,1,Port 5,Platform
IntelSetup,0x13A,1,Hot Plug,Platform
IntelSetup,0x14C,1,Configure as eSATA,Platform
IntelSetup,0x15F,1,SATA HDD Unlock,Platform
IntelSetup,0x160,1,SATA Led locate,Platform
IntelSetup,0x159,1,RAID 0,Platform
IntelSetup,0x15A,1,RAID 1,Platform
IntelSetup,0x15B,1,RAID 10,Platform
IntelSetup,0x15C,1,RAID 5,Platform
IntelSetup,0x15D,1,Intel Rapid Recovery Technology,Platform
IntelSetup,0x15E,1,RAID Option ROM  UI banner,Platform
IntelSetup,0x161,1,IRRT Only on ESATA,Platform
IntelSetup,0x162,1,Smart Response Technology,Platform
IntelSetup,0x164,1,RAID OROM prompt delay,Platform
IntelSetup,0x16B,1,sSATA Controller,Platform
IntelSetup,0x16C,1,Configure sSATA as,Platform
IntelSetup,0x1A1,1,Alternate Device ID on RAID,Platform
IntelSetup,0x19F,1,Load EFI Driver for RAID,Platform
IntelSetup,0x16E,1,Port 0,Platform
IntelSetup,0x174,1,Hot Plug,Platform
IntelSetup,0x183,1,Configure as eSATA,Platform
IntelSetup,0x16F,1,Port 1,Platform
IntelSetup,0x175,1,Hot Plug,Platform
IntelSetup,0x184,1,Configure as eSATA,Platform
IntelSetup,0x170,1,Port 2,Platform
IntelSetup,0x176,1,Hot Plug,Platform
IntelSetup,0x185,1,Configure as eSATA,Platform
IntelSetup,0x171,1,Port 3,Platform
IntelSetup,0x177,1,Hot Plug,Platform
IntelSetup,0x186,1,Configure as eSATA,Platform
IntelSetup,0x19B,1,SATA HDD Unlock,Platform
IntelSetup,0x19C,1,SATA Led locate,Platform
IntelSetup,0x195,1,RAID 0,Platform
IntelSetup,0x196,1,RAID 1,Platform
IntelSetup,0x197,1,RAID 10,Platform
IntelSetup,0x198,1,RAID 5,Platform
IntelSetup,0x199,1,Intel Rapid Recovery Technology,Platform
IntelSetup,0x19A,1,RAID Option ROM  UI banner,Platform
IntelSetup,0x19D,1,IRRT Only on ESATA,Platform
IntelSetup,0x19E,1,Smart Response Technology,Platform
IntelSetup,0x1A0,1,RAID OROM prompt delay,Platform
IntelSetup,0xE6,1,LAN PXE Boot Option ROM,Platform
IntelSetup,0xE7,1,Network Stack,Platform
IntelSetup,0x1B8,1,PCI Express Port Config 1,Platform
IntelSetup,0x1B9,1,PCI Express Port Config 2,Platform
IntelSetup,0x1B7,1,Gbe PCH,Platform
IntelSetup,0x1B4,1,PCIE Clock Gating,Platform
IntelSetup,0x1BD,1,Subtractive Decode,Platform
IntelSetup,0x1BE,1,Subtractive Decode Port#,Platform
IntelSetup,0x1BF,1,PCIe-USB Glitch W/A,Platform
IntelSetup,0x1C0,1,PCIe Root Port Function Swapping,Platform
IntelSetup,0x1C1,1,PCI Express Root Port 1,Platform
IntelSetup,0x1C9,1,PCIE ASPM,Platform
IntelSetup,0x281,1,L1 Substates,Platform
IntelSetup,0x1D1,1,URR,Platform
IntelSetup,0x1D9,1,FER,Platform
IntelSetup,0x1E1,1,NFER,Platform
IntelSetup,0x1E9,1,CER,Platform
IntelSetup,0x1F1,1,CTO,Platform
IntelSetup,0x209,1,SEFE,Platform
IntelSetup,0x211,1,SENFE,Platform
IntelSetup,0x219,1,SECE,Platform
IntelSetup,0x221,1,PME SCI,Platform
IntelSetup,0x229,1,Hot Plug,Platform
IntelSetup,0x231,1,PCIe Speed,Platform
IntelSetup,0x1F9,1,PME Interrupt,Platform
IntelSetup,0x241,1,Extra Bus Reserved,Platform
IntelSetup,0x249,2,Reseved Memory,Platform
IntelSetup,0x259,1,Reseved Memory Alignment,Platform
IntelSetup,0x261,2,Prefetchable Memory,Platform
IntelSetup,0x271,1,Prefetchable Memory Alignment,Platform
IntelSetup,0x279,1,Reserved I/O,Platform
IntelSetup,0x1C2,1,PCI Express Root Port 2,Platform
IntelSetup,0x1CA,1,PCIE ASPM,Platform
IntelSetup,0x282,1,L1 Substates,Platform
IntelSetup,0x1D2,1,URR,Platform
IntelSetup,0x1DA,1,FER,Platform
IntelSetup,0x1E2,1,NFER,Platform
IntelSetup,0x1EA,1,CER,Platform
IntelSetup,0x1F2,1,CTO,Platform
IntelSetup,0x20A,1,SEFE,Platform
IntelSetup,0x212,1,SENFE,Platform
IntelSetup,0x21A,1,SECE,Platform
IntelSetup,0x222,1,PME SCI,Platform
IntelSetup,0x22A,1,Hot Plug,Platform
IntelSetup,0x232,1,PCIe Speed,Platform
IntelSetup,0x1FA,1,PME Interrupt,Platform
IntelSetup,0x202,1,MSI,Platform
IntelSetup,0x242,1,Extra Bus Reserved,Platform
IntelSetup,0x24B,2,Reseved Memory,Platform
IntelSetup,0x25A,1,Reseved Memory Alignment,Platform
IntelSetup,0x263,2,Prefetchable Memory,Platform
IntelSetup,0x272,1,Prefetchable Memory Alignment,Platform
IntelSetup,0x27A,1,Reserved I/O,Platform
IntelSetup,0x1C3,1,PCI Express Root Port 3,Platform
IntelSetup,0x1CB,1,PCIE ASPM,Platform
IntelSetup,0x283,1,L1 Substates,Platform
IntelSetup,0x1D3,1,URR,Platform
IntelSetup,0x1DB,1,FER,Platform
IntelSetup,0x1E3,1,NFER,Platform
IntelSetup,0x1EB,1,CER,Platform
IntelSetup,0x1F3,1,CTO,Platform
IntelSetup,0x20B,1,SEFE,Platform
IntelSetup,0x213,1,SENFE,Platform
IntelSetup,0x21B,1,SECE,Platform
IntelSetup,0x223,1,PME SCI,Platform
IntelSetup,0x22B,1,Hot Plug,Platform
IntelSetup,0x233,1,PCIe Speed,Platform
IntelSetup,0x1FB,1,PME Interrupt,Platform
IntelSetup,0x203,1,MSI,Platform
IntelSetup,0x243,1,Extra Bus Reserved,Platform
IntelSetup,0x24D,2,Reseved Memory,Platform
IntelSetup,0x25B,1,Reseved Memory Alignment,Platform
IntelSetup,0x265,2,Prefetchable Memory,Platform
IntelSetup,0x273,1,Prefetchable Memory Alignment,Platform
IntelSetup,0x27B,1,Reserved I/O,Platform
IntelSetup,0x1C4,1,PCI Express Root Port 4,Platform
IntelSetup,0x1CC,1,PCIE ASPM,Platform
IntelSetup,0x284,1,L1 Substates,Platform
IntelSetup,0x1D4,1,URR,Platform
IntelSetup,0x1DC,1,FER,Platform
IntelSetup,0x1E4,1,NFER,Platform
IntelSetup,0x1EC,1,CER,Platform
IntelSetup,0x1F4,1,CTO,Platform
IntelSetup,0x20C,1,SEFE,Platform
IntelSetup,0x214,1,SENFE,Platform
IntelSetup,0x21C,1,SECE,Platform
IntelSetup,0x224,1,PME SCI,Platform
IntelSetup,0x22C,1,Hot Plug,Platform
IntelSetup,0x234,1,PCIe Speed,Platform
IntelSetup,0x1FC,1,PME Interrupt,Platform
IntelSetup,0x204,1,MSI,Platform
IntelSetup,0x244,1,Extra Bus Reserved,Platform
IntelSetup,0x24F,2,Reseved Memory,Platform
IntelSetup,0x25C,1,Reseved Memory Alignment,Platform
IntelSetup,0x267,2,Prefetchable Memory,Platform
IntelSetup,0x274,1,Prefetchable Memory Alignment,Platform
IntelSetup,0x27C,1,Reserved I/O,Platform
IntelSetup,0x1C5,1,PCI Express Root Port 5,Platform
IntelSetup,0x1CD,1,PCIE ASPM,Platform
IntelSetup,0x285,1,L1 Substates,Platform
IntelSetup,0x1D5,1,URR,Platform
IntelSetup,0x1DD,1,FER,Platform
IntelSetup,0x1E5,1,NFER,Platform
IntelSetup,0x1ED,1,CER,Platform
IntelSetup,0x1F5,1,CTO,Platform
IntelSetup,0x20D,1,SEFE,Platform
IntelSetup,0x215,1,SENFE,Platform
IntelSetup,0x21D,1,SECE,Platform
IntelSetup,0x225,1,PME SCI,Platform
IntelSetup,0x22D,1,Hot Plug,Platform
IntelSetup,0x235,1,PCIe Speed,Platform
IntelSetup,0x1FD,1,PME Interrupt,Platform
IntelSetup,0x205,1,MSI,Platform
IntelSetup,0x245,1,Extra Bus Reserved,Platform
IntelSetup,0x251,2,Reseved Memory,Platform
IntelSetup,0x25D,1,Reseved Memory Alignment,Platform
IntelSetup,0x269,2,Prefetchable Memory,Platform
IntelSetup,0x275,1,Prefetchable Memory Alignment,Platform
IntelSetup,0x27D,1,Reserved I/O,Platform
IntelSetup,0x1C6,1,PCI Express Root Port 6,Platform
IntelSetup,0x1CE,1,PCIE ASPM,Platform
IntelSetup,0x286,1,L1 Substates,Platform
IntelSetup,0x1D6,1,URR,Platform
IntelSetup,0x1DE,1,FER,Platform
IntelSetup,0x1E6,1,NFER,Platform
IntelSetup,0x1EE,1,CER,Platform
IntelSetup,0x1F6,1,CTO,Platform
IntelSetup,0x20E,1,SEFE,Platform
IntelSetup,0x216,1,SENFE,Platform
IntelSetup,0x21E,1,SECE,Platform
IntelSetup,0x226,1,PME SCI,Platform
IntelSetup,0x22E,1,Hot Plug,Platform
IntelSetup,0x236,1,PCIe Speed,Platform
IntelSetup,0x1FE,1,PME Interrupt,Platform
IntelSetup,0x206,1,MSI,Platform
IntelSetup,0x246,1,Extra Bus Reserved,Platform
IntelSetup,0x253,2,Reseved Memory,Platform
IntelSetup,0x25E,1,Reseved Memory Alignment,Platform
IntelSetup,0x26B,2,Prefetchable Memory,Platform
IntelSetup,0x276,1,Prefetchable Memory Alignment,Platform
IntelSetup,0x27E,1,Reserved I/O,Platform
IntelSetup,0x1C7,1,PCI Express Root Port 7,Platform
IntelSetup,0x1CF,1,PCIE ASPM,Platform
IntelSetup,0x287,1,L1 Substates,Platform
IntelSetup,0x1D7,1,URR,Platform
IntelSetup,0x1DF,1,FER,Platform
IntelSetup,0x1E7,1,NFER,Platform
IntelSetup,0x1EF,1,CER,Platform
IntelSetup,0x1F7,1,CTO,Platform
IntelSetup,0x20F,1,SEFE,Platform
IntelSetup,0x217,1,SENFE,Platform
IntelSetup,0x21F,1,SECE,Platform
IntelSetup,0x227,1,PME SCI,Platform
IntelSetup,0x22F,1,Hot Plug,Platform
IntelSetup,0x237,1,PCIe Speed,Platform
IntelSetup,0x1FF,1,PME Interrupt,Platform
IntelSetup,0x207,1,MSI,Platform
IntelSetup,0x247,1,Extra Bus Reserved,Platform
IntelSetup,0x255,2,Reseved Memory,Platform
IntelSetup,0x25F,1,Reseved Memory Alignment,Platform
IntelSetup,0x26D,2,Prefetchable Memory,Platform
IntelSetup,0x277,1,Prefetchable Memory Alignment,Platform
IntelSetup,0x27F,1,Reserved I/O,Platform
IntelSetup,0x1C8,1,PCI Express Root Port 8,Platform
IntelSetup,0x1D0,1,PCIE ASPM,Platform
IntelSetup,0x288,1,L1 Substates,Platform
IntelSetup,0x1D8,1,URR,Platform
IntelSetup,0x1E0,1,FER,Platform
IntelSetup,0x1E8,1,NFER,Platform
IntelSetup,0x1F0,1,CER,Platform
IntelSetup,0x1F8,1,CTO,Platform
IntelSetup,0x210,1,SEFE,Platform
IntelSetup,0x218,1,SENFE,Platform
IntelSetup,0x220,1,SECE,Platform
IntelSetup,0x228,1,PME SCI,Platform
IntelSetup,0x230,1,Hot Plug,Platform
IntelSetup,0x238,1,PCIe Speed,Platform
IntelSetup,0x200,1,PME Interrupt,Platform
IntelSetup,0x208,1,MSI,Platform
IntelSetup,0x248,1,Extra Bus Reserved,Platform
IntelSetup,0x257,2,Reseved Memory,Platform
IntelSetup,0x260,1,Reseved Memory Alignment,Platform
IntelSetup,0x26F,2,Prefetchable Memory,Platform
IntelSetup,0x278,1,Prefetchable Memory Alignment,Platform
IntelSetup,0x280,1,Reserved I/O,Platform
IntelSetup,0xEC,1,GPIO Lockdown,Platform
IntelSetup,0xED,1,RTC Lock,Platform
IntelSetup,0xEE,1,BIOS Lock,Platform
IntelSetup,0xF0,1,Host Flash Lock-Down,Platform
IntelSetup,0xF1,1,Gbe Flash Lock-Down,Platform
IntelSetup,0x1AB,1,PCH Thermal Device,Platform
IntelSetup,0x1AC,1,Alert Enable Lock,Platform
IntelSetup,0x1AD,1,PCH Alert,Platform
IntelSetup,0x1AE,1,DIMM Alert,Platform
IntelSetup,0x167,1,SATA test mode,Platform
IntelSetup,0x1A3,1,SATA test mode,Platform
IntelSetup,0x141,1,Spin Up Device,Platform
IntelSetup,0x142,1,Spin Up Device,Platform
IntelSetup,0x143,1,Spin Up Device,Platform
IntelSetup,0x144,1,Spin Up Device,Platform
IntelSetup,0x145,1,Spin Up Device,Platform
IntelSetup,0x146,1,Spin Up Device,Platform
IntelSetup,0x17D,1,Spin Up Device,Platform
IntelSetup,0x17E,1,Spin Up Device,Platform
IntelSetup,0x17F,1,Spin Up Device,Platform
IntelSetup,0x180,1,Spin Up Device,Platform
IntelSetup,0xE5,1,SLP_LAN# Low on DC Power,Platform
IntelSetup,0x12A,1,XHCI Idle L1,Platform
IntelSetup,0x110,1,USB XHCI s755 WA,Platform
IntelSetup,0x111,1,USB XHCI Interrupt Remap WA,Platform
IntelSetup,0x1BA,1,DMI Link Extended Synch Control,Platform
IntelSetup,0x1BB,1,Stop and Scream,Platform
IntelSetup,0x1BC,1,Expanded SPI TPM Transaction Length Enable,Platform
IntelSetup,0x1B6,1,Subtractive Decode,Platform
IntelSetup,0x10C6,4,MMCFG Base,Platform
IntelSetup,0x10D6,4,MMIOHBase,Platform
IntelSetup,0x10DA,4,MMIO High Size,Platform
IntelSetup,0x10DE,1,Isoc Mode,Platform
IntelSetup,0x10DF,1,MeSeg Mode,Platform
IntelSetup,0x10E0,1,Numa,Platform
IntelSetup,0x1172,1,Degrade Precedence,Platform
IntelSetup,0x1174,1,Link Speed Mode,Platform
IntelSetup,0x1175,1,Link Frequency Select,Platform
IntelSetup,0x1176,1,Link L0p Enable,Platform
IntelSetup,0x1177,1,Link L1 Enable,Platform
IntelSetup,0x1178,1,Periodic Retrain Interval,Platform
IntelSetup,0x117E,1,Link Credit Reduce,Platform
IntelSetup,0x117F,1,Link Width Selection,Platform
IntelSetup,0x1180,1,QpiAdVNACreditArbThreshold,Platform
IntelSetup,0x1181,1,CRC Mode,Platform
IntelSetup,0x1179,1,QPI Load Board for Failed Links,Platform
IntelSetup,0x1169,1,Legacy VGA Socket,Platform
IntelSetup,0x116A,1,MMIO P2P Disable,Platform
IntelSetup,0x1170,1,E2E Parity Enable,Platform
IntelSetup,0x116E,1,COD Enable,Platform
IntelSetup,0x1171,1,Early Snoop,Platform
IntelSetup,0x17AC,1,Home Dir Snoop with IVT- Style OSB Enable,Platform
IntelSetup,0x1187,1,CPU SKU Type Mismatch check,Platform
IntelSetup,0x116C,1,QPI Debug Print Level,Platform
IntelSetup,0x10F0,1,Resource Auto Adjust,Platform
IntelSetup,0x1173,1,IB PECI,Platform
IntelSetup,0x115D,1,Bus Resources Allocation Ratio,Platform
IntelSetup,0x1161,1,IO Resources Allocation Ratio,Platform
IntelSetup,0x1165,1,MMIOL Resources Allocation Ratio,Platform
IntelSetup,0x117A,1,IIO Disable,Platform
IntelSetup,0x1115,1,Socket IO Alignment (Hex),Platform
IntelSetup,0x1119,4,Socket IO Length (Hex),Platform
IntelSetup,0x1139,1,Socket Alignment (Hex),Platform
IntelSetup,0x113D,4,Socket Length (Hex),Platform
IntelSetup,0x115E,1,Bus Resources Allocation Ratio,Platform
IntelSetup,0x1162,1,IO Resources Allocation Ratio,Platform
IntelSetup,0x1166,1,MMIOL Resources Allocation Ratio,Platform
IntelSetup,0x117B,1,IIO Disable,Platform
IntelSetup,0x1116,1,Socket IO Alignment (Hex),Platform
IntelSetup,0x1121,4,Socket IO Length (Hex),Platform
IntelSetup,0x113A,1,Socket Alignment (Hex),Platform
IntelSetup,0x1145,4,Socket Length (Hex),Platform
IntelSetup,0x115F,1,Bus Resources Allocation Ratio,Platform
IntelSetup,0x1163,1,IO Resources Allocation Ratio,Platform
IntelSetup,0x1167,1,MMIOL Resources Allocation Ratio,Platform
IntelSetup,0x117C,1,IIO Disable,Platform
IntelSetup,0x1117,1,Socket IO Alignment (Hex),Platform
IntelSetup,0x1129,4,Socket IO Length (Hex),Platform
IntelSetup,0x113B,1,Socket Alignment (Hex),Platform
IntelSetup,0x114D,4,Socket Length (Hex),Platform
IntelSetup,0x1160,1,Bus Resources Allocation Ratio,Platform
IntelSetup,0x1164,1,IO Resources Allocation Ratio,Platform
IntelSetup,0x1168,1,MMIOL Resources Allocation Ratio,Platform
IntelSetup,0x117D,1,IIO Disable,Platform
IntelSetup,0x1118,1,Socket IO Alignment (Hex),Platform
IntelSetup,0x1131,4,Socket IO Length (Hex),Platform
IntelSetup,0x113C,1,Socket Alignment (Hex),Platform
IntelSetup,0x1155,4,Socket Length (Hex),Platform
IntelSetup,0x1189,1,Link Disable,Platform
IntelSetup,0x118A,1,Link Credit Reduce,Platform
IntelSetup,0x118B,1,Current QPI Link Speed,Platform
IntelSetup,0x118C,1,Probe Type,Platform
IntelSetup,0x118D,1,Link Width Selection,Platform
IntelSetup,0x118E,1,Link Disable,Platform
IntelSetup,0x118F,1,Link Credit Reduce,Platform
IntelSetup,0x1190,1,Current QPI Link Speed,Platform
IntelSetup,0x1191,1,Probe Type,Platform
IntelSetup,0x1192,1,Link Width Selection,Platform
IntelSetup,0x1771,1,IIO PCIe Link on phase,Platform
IntelSetup,0xC1B,1,PCIe Train by BIOS,Platform
IntelSetup,0x10AC,1,PCIe Hot Plug,Platform
IntelSetup,0x10AD,1,PCIe ACPI Hot Plug,Platform
IntelSetup,0xC1C,1,MultiCast Enable,Platform
IntelSetup,0xC1D,1,MC BaseAddress Range,Platform
IntelSetup,0xC1E,1,MC Index Position,Platform
IntelSetup,0xC1F,1,MC Num Group,Platform
IntelSetup,0xC20,1,EV DFX Features,Platform
IntelSetup,0x10A5,1,TX EQ WA,Platform
IntelSetup,0x10A4,1,WA 4167453,Platform
